fullname,firstname,secondname,games,birthdate,position,scPrice,height,weight
Shannon Hurn,Shannon,Hurn,248,"1987,09,04",Defender,523400,187,95
Shaun Atley,Shaun,Atley,176,"1992,09,13",Forward,364700,189,86
Shaun Burgoyne,Shaun,Burgoyne,358,"1982,10,21",Midfield,484200,186,89
Shaun Grigg,Shaun,Grigg,214,"1988,04,19",Midfield,432700,190,85
Shaun Higgins,Shaun,Higgins,203,"1988,03,04",Midfield,560200,184,89
Shaun McKernan,Shaun,McKernan,62,"1990,09,01",Forward,400600,196,100
Steele Sidebottom,Steele,Sidebottom,211,"1991,01,02",Midfield,551700,184,86
Stefan Giro,Stefan,Giro,10,"1999,03,10",Forward,269800,175,71
Stefan Martin,Stefan,Martin,158,"1986,11,17",Ruck,573700,199,100
Stefan Okunbor,Stefan,Okunbor,0,"1998,08,12","Defender,Forward",102400,190,87
Stephen Coniglio,Stephen,Coniglio,118,"1993,12,15",Midfield,588600,182,86
Stephen Hill,Stephen,Hill,203,"1990,05,01",Defender,389200,183,81
Steven May,Steven,May,123,"1992,01,10",Defender,443500,193,101
Steven Motlop,Steven,Motlop,156,"1991,03,12","Midfield,Forward",383900,183,76
Sydney Stack,Sydney,Stack,,None,,102400,,
Tarryn Thomas,Tarryn,Thomas,0,"2000,03,25",Midfield,175800,189,85
Taylin Duman,Taylin,Duman,10,"1998,04,18",Defender,381100,192,79
Taylor Adams,Taylor,Adams,120,"1993,09,20",Midfield,523100,181,83
Taylor Duryea,Taylor,Duryea,118,"1991,04,24",Defender,340000,179,80
Taylor Garner,Taylor,Garner,34,"1994,01,08",Forward,254600,187,88
Taylor Walker,Taylor,Walker,167,"1990,04,25",Forward,343500,193,102
Teia Miles,Teia,Miles,12,"1996,11,02",Defender,343400,180,73
Thomas Berry,Thomas,Berry,0,"2000,05,01",Midfield,117300,185,78
Thomas Boyd,Thomas,Boyd,61,"1995,08,22","Forward,Ruck",364200,200,103
Thomas Jonas,Thomas,Jonas,121,"1991,01,09",Defender,471100,189,94
Thomas Liberatore,Thomas,Liberatore,117,"1992,05,16",Midfield,300400,183,83
Thomas Murphy,Thomas,Murphy,4,"1998,01,19",Defender,195400,189,82
Thomas Sheridan,Thomas,Sheridan,81,"1993,10,28",Midfield,382500,187,82
Thomas Stewart,Thomas,Stewart,43,"1993,03,15",Defender,463000,190,88
Thomas Wilkinson,Thomas,Wilkinson,0,"1996,03,07",Forward,102400,181,83
Tim Kelly,Tim,Kelly,23,"1994,07,26","Midfield,Forward",505800,183,82
Tim Membrey,Tim,Membrey,70,"1994,05,26",Forward,396300,188,89
Tim O'Brien,Tim,O'Brien,46,"1994,03,28",Forward,275500,193,88
Tim Smith,Tim,Smith,6,"1991,02,20",Forward,310500,192,95
Tim Taranto,Tim,Taranto,37,"1998,01,28",Midfield,481600,187,87
Timothy Broomhead,Timothy,Broomhead,36,"1994,03,22","Midfield,Forward",242100,183,85
Timothy English,Timothy,English,9,"1997,08,10",Ruck,310600,205,93
Timothy Mohr,Timothy,Mohr,48,"1988,10,19",Defender,243200,196,100
Tobe Watson,Tobe,Watson,0,"1997,12,03","Defender,Midfield",102400,190,84
Tobin Cox,Tobin,Cox,0,"1999,07,15","Midfield,Forward",115900,177,82
Toby Bedford,Toby,Bedford,0,"2000,05,27","Midfield,Forward",117300,177,69
Toby Greene,Toby,Greene,126,"1993,09,25",Forward,354600,182,83
Toby McLean,Toby,McLean,60,"1996,01,31","Midfield,Forward",514000,180,79
Toby Nankervis,Toby,Nankervis,59,"1994,08,12",Ruck,533000,199,102
Toby Pink,Toby,Pink,0,"1998,08,11",Forward,123900,194,92
Toby Wooller,Toby,Wooller,0,"1999,03,16",Forward,123900,194,87
Todd Goldstein,Todd,Goldstein,212,"1988,07,01",Ruck,548000,201,103
Todd Marshall,Todd,Marshall,10,"1998,10,08",Forward,281300,198,90
Tom Atkins,Tom,Atkins,0,"1995,09,18",Midfield,112900,180,85
Tom Barrass,Tom,Barrass,51,"1995,10,08",Defender,395600,194,95
Tom Bellchambers,Tom,Bellchambers,113,"1989,07,09",Ruck,505700,201,108
Tom Campbell,Tom,Campbell,42,"1991,11,02",Ruck,264400,200,106
Tom Clurey,Tom,Clurey,60,"1994,03,23",Defender,350300,193,93
Tom Cole,Tom,Cole,27,"1997,05,28",Defender,339900,186,81
Tom Cutler,Tom,Cutler,63,"1995,02,20",Midfield,439700,191,91
Tom De Koning,Tom,De Koning,2,"1999,07,16","Forward,Ruck",171500,201,92
Tom Doedee,Tom,Doedee,20,"1997,03,01",Defender,446200,188,88
Tom Fullarton,Tom,Fullarton,,None,,102400,,
Tom Hawkins,Tom,Hawkins,232,"1988,07,21",Forward,552900,198,103
Tom Hickey,Tom,Hickey,79,"1991,03,06",Ruck,485600,201,99
Tom Jok,Tom,Jok,0,"1997,01,01",Midfield,117400,193,80
Tom Joyce,Tom,Joyce,0,"2000,03,07",Midfield,117300,181,77
Tom Langdon,Tom,Langdon,80,"1994,06,09",Defender,416600,190,83
Tom Lynch,Tom,Lynch,131,"1992,10,31",Forward,425600,199,99
Tom Lynch,Tom,Lynch,123,"1990,09,15",Forward,436800,193,88
Tom McCartin,Tom,McCartin,15,"1999,12,30",Forward,274100,192,82
Tom McDonald,Tom,McDonald,146,"1992,09,18",Forward,529800,194,100
Tom McKenzie,Tom,McKenzie,0,"2000,06,23","Defender,Midfield",114400,183,78
Tom Mitchell,Tom,Mitchell,111,"1993,05,31",Midfield,700800,182,84
Tom Nicholls,Tom,Nicholls,45,"1992,03,04",Ruck,224000,203,103
Tom North,Tom,North,0,"1999,02,14",Midfield,123900,184,84
Tom Papley,Tom,Papley,60,"1996,07,13",Forward,383400,177,77
Tom Phillips,Tom,Phillips,50,"1996,05,07",Midfield,489100,187,79
Tom Rockliff,Tom,Rockliff,172,"1990,02,22",Midfield,405900,185,83
Tom Scully,Tom,Scully,152,"1991,05,15",Midfield,334900,181,80
Tom Sparrow,Tom,Sparrow,0,"2000,05,31",Midfield,117300,182,82
Tom Williamson,Tom,Williamson,15,"1998,12,12",Defender,189500,189,82
Tomas Bugg,Tomas,Bugg,96,"1993,04,05",Midfield,272100,184,84
Tory Dickson,Tory,Dickson,96,"1987,09,26",Forward,263300,184,85
Touk Miller,Touk,Miller,82,"1996,02,22",Midfield,482400,178,84
Travis Boak,Travis,Boak,243,"1988,08,01",Forward,478000,184,85
Travis Colyer,Travis,Colyer,87,"1991,08,24","Midfield,Forward",282300,175,79
Travis Varcoe,Travis,Varcoe,205,"1988,04,10",Forward,332800,180,83
Trent Cotchin,Trent,Cotchin,220,"1990,04,07",Midfield,486900,185,85
Trent Dumont,Trent,Dumont,61,"1995,06,30",Midfield,452800,186,87
Trent McKenzie,Trent,McKenzie,107,"1992,04,03",Defender,260600,191,83
Trent Mynott,Trent,Mynott,0,"1999,10,04",Midfield,123900,185,75
Tristan Xerri,Tristan,Xerri,0,"1999,03,15","Forward,Ruck",123900,201,94
Tyler Brown,Tyler,Brown,0,"1999,12,09",Defender,123900,188,73
Tyson Goldsack,Tyson,Goldsack,165,"1987,05,22",Defender,257400,193,93
Tyson Stengle,Tyson,Stengle,2,"1998,10,19",Forward,123900,172,73
Wayne Milera,Wayne,Milera,43,"1997,09,14",Defender,433100,184,81
Wil Powell,Wil,Powell,7,"1999,08,26",Forward,211500,185,70
Will Brodie,Will,Brodie,11,"1998,08,23",Midfield,369800,189,88
Will Golds,Will,Golds,0,"2000,05,06",Midfield,102400,183,73
Will Hamill,Will,Hamill,0,"2000,11,17",Defender,117300,186,71
Will Hayes,Will,Hayes,0,"1995,06,05",Midfield,117300,181,77
Will Hayward,Will,Hayward,40,"1998,10,26",Forward,325200,186,80
Will Hoskin-Elliott,Will,Hoskin-Elliott,100,"1993,09,02",Forward,380200,186,81
Will Kelly,Will,Kelly,0,"2000,08,16",Defender,117300,194,84
Will Schofield,Will,Schofield,176,"1989,01,24",Defender,253500,196,92
Will Setterfield,Will,Setterfield,2,"1998,02,05","Midfield,Forward",144900,190,87
Will Walker,Will,Walker,4,"1999,03,30",Forward,199100,186,78
Willem Drew,Willem,Drew,0,"1998,10,01","Midfield,Forward",123900,190,85
William Langford,William,Langford,72,"1992,07,03","Midfield,Forward",236000,187,83
Willie Rioli,Willie,Rioli,24,"1995,06,04",Forward,318700,175,80
Wylie Buzza,Wylie,Buzza,9,"1996,03,02",Forward,213300,199,102
Xavier Duursma,Xavier,Duursma,0,"2000,07,07","Defender,Midfield",130800,186,74
Xavier O'Halloran,Xavier,O'Halloran,0,"2000,07,11",Midfield,117300,186,84
Xavier O'Neill,Xavier,O'Neill,0,"2000,08,03",Midfield,117300,185,82
Zac Bailey,Zac,Bailey,12,"1999,09,23","Midfield,Forward",275900,182,81
Zac Fisher,Zac,Fisher,34,"1998,06,15","Midfield,Forward",392800,175,72
Zac Foot,Zac,Foot,0,"2000,12,24",Forward,117300,180,71
Zac Langdon,Zac,Langdon,21,"1995,11,13",Forward,303100,177,80
Zac Smith,Zac,Smith,112,"1990,02,22",Ruck,330600,206,105
Zach Guthrie,Zach,Guthrie,16,"1998,06,30",Defender,203800,187,76
Zach Tuohy,Zach,Tuohy,168,"1989,12,10",Defender,460400,187,93
Zachary Clarke,Zachary,Clarke,101,"1990,03,28",Ruck,142600,203,85
Zachary Merrett,Zachary,Merrett,103,"1995,10,03",Midfield,544800,180,80
Zachary Sproule,Zachary,Sproule,0,"1998,05,12","Midfield,Forward",123900,197,92
Zachary Williams,Zachary,Williams,78,"1994,09,20",Defender,407800,185,84
Zaine Cordy,Zaine,Cordy,48,"1996,10,27",Defender,328400,193,90
Zak Butters,Zak,Butters,0,"2000,09,08",Midfield,157800,181,71
Zak Jones,Zak,Jones,73,"1995,03,15",Defender,432200,181,78
